Datum,Bundesland,Bundesland_Id,Altersgruppe,fixierte_7T_Hospitalisierung_Faelle,aktualisierte_7T_Hospitalisierung_Faelle,PS_adjustierte_7T_Hospitalisierung_Faelle,UG_PI_adjustierte_7T_Hospitalisierung_Faelle,OG_PI_adjustierte_7T_Hospitalisierung_Faelle,Bevoelkerung,fixierte_7T_Hospitalisierung_Inzidenz,aktualisierte_7T_Hospitalisierung_Inzidenz,PS_adjustierte_7T_Hospitalisierung_Inzidenz,UG_PI_adjustierte_7T_Hospitalisierung_Inzidenz,OG_PI_adjustierte_7T_Hospitalisierung_Inzidenz
2022-07-14,Bundesgebiet,00,00+,4250,5263,NA,NA,NA,83155031,5.11,6.33,NA,NA,NA
2022-07-13,Bundesgebiet,00,00+,4948,6056,NA,NA,NA,83155031,5.95,7.28,NA,NA,NA
2022-07-12,Bundesgebiet,00,00+,4681,6496,NA,NA,NA,83155031,5.63,7.81,NA,NA,NA
2022-07-11,Bundesgebiet,00,00+,4629,6599,8092,7882,8297,83155031,5.57,7.94,9.73,9.48,9.98
2022-07-10,Bundesgebiet,00,00+,4827,6648,8046,7847,8260,83155031,5.8,7.99,9.68,9.44,9.93
2022-07-09,Bundesgebiet,00,00+,5068,6676,7990,7786,8200,83155031,6.09,8.03,9.61,9.36,9.86
2022-07-08,Bundesgebiet,00,00+,5023,6713,7872,7677,8095,83155031,6.04,8.07,9.47,9.23,9.74
2022-07-07,Bundesgebiet,00,00+,4858,6713,7741,7561,7954,83155031,5.84,8.07,9.31,9.09,9.57
2022-07-06,Bundesgebiet,00,00+,4752,6686,7547,7372,7742,83155031,5.71,8.04,9.08,8.87,9.31
2022-07-05,Bundesgebiet,00,00+,4624,6712,7432,7276,7619,83155031,5.56,8.07,8.94,8.75,9.16
2022-07-04,Bundesgebiet,00,00+,4313,6774,7348,7207,7526,83155031,5.19,8.15,8.84,8.67,9.05
2022-07-03,Bundesgebiet,00,00+,4538,6767,7319,7181,7495,83155031,5.46,8.14,8.8,8.64,9.01
2022-07-02,Bundesgebiet,00,00+,4783,6770,7304,7168,7478,83155031,5.75,8.14,8.78,8.62,8.99
2022-07-01,Bundesgebiet,00,00+,4608,6772,7250,7123,7416,83155031,5.54,8.14,8.72,8.57,8.92
2022-06-30,Bundesgebiet,00,00+,4307,6775,7201,7083,7359,83155031,5.18,8.15,8.66,8.52,8.85
2022-06-29,Bundesgebiet,00,00+,4089,6635,7004,6897,7150,83155031,4.92,7.98,8.42,8.29,8.6
2022-06-28,Bundesgebiet,00,00+,3884,6538,6854,6758,6987,83155031,4.67,7.86,8.24,8.13,8.4
2022-06-27,Bundesgebiet,00,00+,3917,6413,6666,6583,6784,83155031,4.71,7.71,8.02,7.92,8.16
2022-06-26,Bundesgebiet,00,00+,4114,6372,6615,6535,6731,83155031,4.95,7.66,7.96,7.86,8.09
2022-06-25,Bundesgebiet,00,00+,4338,6360,6595,6517,6709,83155031,5.22,7.65,7.93,7.84,8.07
2022-06-24,Bundesgebiet,00,00+,4293,6325,6536,6463,6643,83155031,5.16,7.61,7.86,7.77,7.99
2022-06-23,Bundesgebiet,00,00+,3632,5698,5874,5811,5967,83155031,4.37,6.85,7.06,6.99,7.18
2022-06-22,Bundesgebiet,00,00+,3202,5456,5608,5552,5692,83155031,3.85,6.56,6.74,6.68,6.85
2022-06-21,Bundesgebiet,00,00+,2783,5133,5260,5211,5333,83155031,3.35,6.17,6.33,6.27,6.41
2022-06-20,Bundesgebiet,00,00+,2534,4627,4720,4683,4779,83155031,3.05,5.56,5.68,5.63,5.75
2022-06-19,Bundesgebiet,00,00+,2638,4566,4654,4619,4711,83155031,3.17,5.49,5.6,5.55,5.67
2022-06-18,Bundesgebiet,00,00+,2795,4492,4576,4542,4630,83155031,3.36,5.4,5.5,5.46,5.57
2022-06-17,Bundesgebiet,00,00+,2548,4159,4226,4198,4270,83155031,3.06,5,5.08,5.05,5.14
2022-06-16,Bundesgebiet,00,00+,2945,4466,4529,4504,4571,83155031,3.54,5.37,5.45,5.42,5.5
2022-06-15,Bundesgebiet,00,00+,2882,4470,4523,4502,4558,83155031,3.47,5.38,5.44,5.41,5.48
2022-06-14,Bundesgebiet,00,00+,2989,4708,4751,4734,4778,83155031,3.59,5.66,5.71,5.69,5.75
2022-06-13,Bundesgebiet,00,00+,2238,3761,3787,3777,3801,83155031,2.69,4.52,4.55,4.54,4.57
2022-06-12,Bundesgebiet,00,00+,2300,3699,3722,3713,3735,83155031,2.77,4.45,4.48,4.47,4.49
2022-06-11,Bundesgebiet,00,00+,2430,3671,3692,3684,3702,83155031,2.92,4.41,4.44,4.43,4.45
2022-06-10,Bundesgebiet,00,00+,2218,3529,3545,3539,3552,83155031,2.67,4.24,4.26,4.26,4.27
2022-06-09,Bundesgebiet,00,00+,1976,3313,3323,3319,3329,83155031,2.38,3.98,4,3.99,4
2022-06-08,Bundesgebiet,00,00+,1609,3022,3027,3025,3030,83155031,1.93,3.63,3.64,3.64,3.64
2022-06-07,Bundesgebiet,00,00+,1252,2451,2451,2451,2452,83155031,1.51,2.95,2.95,2.95,2.95
2022-06-06,Bundesgebiet,00,00+,1814,2935,2935,2935,2935,83155031,2.18,3.53,3.53,3.53,3.53
2022-06-05,Bundesgebiet,00,00+,1895,2925,2925,2925,2925,83155031,2.28,3.52,3.52,3.52,3.52
2022-06-04,Bundesgebiet,00,00+,1989,2877,2877,2877,2877,83155031,2.39,3.46,3.46,3.46,3.46
2022-06-03,Bundesgebiet,00,00+,2031,2875,2875,2875,2875,83155031,2.44,3.46,3.46,3.46,3.46
2022-06-02,Bundesgebiet,00,00+,1623,2512,2512,2512,2512,83155031,1.95,3.02,3.02,3.02,3.02
2022-06-01,Bundesgebiet,00,00+,1516,2446,2446,2446,2446,83155031,1.82,2.94,2.94,2.94,2.94
2022-05-31,Bundesgebiet,00,00+,1445,2439,2439,2439,2439,83155031,1.74,2.93,2.93,2.93,2.93
2022-05-30,Bundesgebiet,00,00+,1426,2489,2489,2489,2489,83155031,1.71,2.99,2.99,2.99,2.99
2022-05-29,Bundesgebiet,00,00+,1523,2507,2507,2507,2507,83155031,1.83,3.01,3.01,3.01,3.01
2022-05-28,Bundesgebiet,00,00+,1641,2578,2578,2578,2578,83155031,1.97,3.1,3.1,3.1,3.1
2022-05-27,Bundesgebiet,00,00+,1561,2556,2556,2556,2556,83155031,1.88,3.07,3.07,3.07,3.07
2022-05-26,Bundesgebiet,00,00+,2017,2977,2977,2977,2977,83155031,2.43,3.58,3.58,3.58,3.58
2022-05-25,Bundesgebiet,00,00+,2129,3168,3168,3168,3168,83155031,2.56,3.81,3.81,3.81,3.81
2022-05-24,Bundesgebiet,00,00+,2261,3369,3369,3369,3369,83155031,2.72,4.05,4.05,4.05,4.05
2022-05-23,Bundesgebiet,00,00+,2309,3596,3596,3596,3596,83155031,2.78,4.32,4.32,4.32,4.32
2022-05-22,Bundesgebiet,00,00+,2407,3617,3617,3617,3617,83155031,2.89,4.35,4.35,4.35,4.35
2022-05-21,Bundesgebiet,00,00+,2561,3650,3650,3650,3650,83155031,3.08,4.39,4.39,4.39,4.39
2022-05-20,Bundesgebiet,00,00+,2598,3836,3836,3836,3836,83155031,3.12,4.61,4.61,4.61,4.61
2022-05-19,Bundesgebiet,00,00+,2669,4026,4026,4026,4026,83155031,3.21,4.84,4.84,4.84,4.84
2022-05-18,Bundesgebiet,00,00+,2683,4159,4159,4159,4159,83155031,3.23,5,5,5,5
2022-05-17,Bundesgebiet,00,00+,2750,4346,4346,4346,4346,83155031,3.31,5.23,5.23,5.23,5.23
2022-05-16,Bundesgebiet,00,00+,2928,4588,4588,4588,4588,83155031,3.52,5.52,5.52,5.52,5.52
2022-05-15,Bundesgebiet,00,00+,3069,4615,4615,4615,4615,83155031,3.69,5.55,5.55,5.55,5.55
2022-05-14,Bundesgebiet,00,00+,3242,4676,4676,4676,4676,83155031,3.9,5.62,5.62,5.62,5.62
2022-05-13,Bundesgebiet,00,00+,3248,4780,4780,4780,4780,83155031,3.91,5.75,5.75,5.75,5.75
2022-05-12,Bundesgebiet,00,00+,3186,4931,4931,4931,4931,83155031,3.83,5.93,5.93,5.93,5.93
2022-05-11,Bundesgebiet,00,00+,3259,5104,5104,5104,5104,83155031,3.92,6.14,6.14,6.14,6.14
2022-05-10,Bundesgebiet,00,00+,3246,5242,5242,5242,5242,83155031,3.9,6.3,6.3,6.3,6.3
2022-05-09,Bundesgebiet,00,00+,3116,5201,5201,5201,5201,83155031,3.75,6.25,6.25,6.25,6.25
2022-05-08,Bundesgebiet,00,00+,3309,5295,5295,5295,5295,83155031,3.98,6.37,6.37,6.37,6.37
2022-05-07,Bundesgebiet,00,00+,3526,5363,5363,5363,5363,83155031,4.24,6.45,6.45,6.45,6.45
2022-05-06,Bundesgebiet,00,00+,3550,5498,5498,5498,5498,83155031,4.27,6.61,6.61,6.61,6.61
2022-05-05,Bundesgebiet,00,00+,3469,5556,5556,5556,5556,83155031,4.17,6.68,6.68,6.68,6.68
2022-05-04,Bundesgebiet,00,00+,3477,5685,5685,5685,5685,83155031,4.18,6.84,6.84,6.84,6.84
2022-05-03,Bundesgebiet,00,00+,3462,5809,5809,5809,5809,83155031,4.16,6.99,6.99,6.99,6.99
2022-05-02,Bundesgebiet,00,00+,3542,6153,6153,6153,6153,83155031,4.26,7.4,7.4,7.4,7.4
2022-05-01,Bundesgebiet,00,00+,3825,6271,6271,6271,6271,83155031,4.6,7.54,7.54,7.54,7.54
2022-04-30,Bundesgebiet,00,00+,4090,6388,6388,6388,6388,83155031,4.92,7.68,7.68,7.68,7.68
2022-04-29,Bundesgebiet,00,00+,4221,6664,6664,6664,6664,83155031,5.08,8.01,8.01,8.01,8.01
2022-04-28,Bundesgebiet,00,00+,4417,7042,7042,7042,7042,83155031,5.31,8.47,8.47,8.47,8.47
2022-04-27,Bundesgebiet,00,00+,4639,7592,7592,7592,7592,83155031,5.58,9.13,9.13,9.13,9.13
2022-04-26,Bundesgebiet,00,00+,5090,8387,8387,8387,8387,83155031,6.12,10.09,10.09,10.09,10.09
2022-04-25,Bundesgebiet,00,00+,4192,7414,7414,7414,7414,83155031,5.04,8.92,8.92,8.92,8.92
2022-04-24,Bundesgebiet,00,00+,4316,7390,7390,7390,7390,83155031,5.19,8.89,8.89,8.89,8.89
2022-04-23,Bundesgebiet,00,00+,4466,7407,7407,7407,7407,83155031,5.37,8.91,8.91,8.91,8.91
2022-04-22,Bundesgebiet,00,00+,3761,6764,6764,6764,6764,83155031,4.52,8.13,8.13,8.13,8.13
2022-04-21,Bundesgebiet,00,00+,3529,6834,6834,6834,6834,83155031,4.24,8.22,8.22,8.22,8.22
2022-04-20,Bundesgebiet,00,00+,3083,6633,6633,6633,6633,83155031,3.71,7.98,7.98,7.98,7.98
2022-04-19,Bundesgebiet,00,00+,2890,6322,6322,6322,6322,83155031,3.48,7.6,7.6,7.6,7.6
2022-04-18,Bundesgebiet,00,00+,4085,7589,7589,7589,7589,83155031,4.91,9.13,9.13,9.13,9.13
2022-04-17,Bundesgebiet,00,00+,4381,7739,7739,7739,7739,83155031,5.27,9.31,9.31,9.31,9.31
2022-04-16,Bundesgebiet,00,00+,4648,7891,7891,7891,7891,83155031,5.59,9.49,9.49,9.49,9.49
2022-04-15,Bundesgebiet,00,00+,5497,8750,8750,8750,8750,83155031,6.61,10.52,10.52,10.52,10.52
2022-04-14,Bundesgebiet,00,00+,5334,8844,8844,8844,8844,83155031,6.41,10.64,10.64,10.64,10.64
2022-04-13,Bundesgebiet,00,00+,5396,9130,9130,9130,9130,83155031,6.49,10.98,10.98,10.98,10.98
2022-04-12,Bundesgebiet,00,00+,5290,9274,9274,9274,9274,83155031,6.36,11.15,11.15,11.15,11.15
2022-04-11,Bundesgebiet,00,00+,5211,9309,9309,9309,9309,83155031,6.27,11.19,11.19,11.19,11.19
2022-04-10,Bundesgebiet,00,00+,5369,9301,9301,9301,9301,83155031,6.46,11.19,11.19,11.19,11.19
2022-04-09,Bundesgebiet,00,00+,5644,9367,9367,9367,9367,83155031,6.79,11.26,11.26,11.26,11.26
2022-04-08,Bundesgebiet,00,00+,5415,9411,9411,9411,9411,83155031,6.51,11.32,11.32,11.32,11.32
2022-04-07,Bundesgebiet,00,00+,5403,9671,9671,9671,9671,83155031,6.5,11.63,11.63,11.63,11.63
2022-04-06,Bundesgebiet,00,00+,5503,9886,9886,9886,9886,83155031,6.62,11.89,11.89,11.89,11.89
2022-04-05,Bundesgebiet,00,00+,5418,10264,10264,10264,10264,83155031,6.52,12.34,12.34,12.34,12.34
2022-04-04,Bundesgebiet,00,00+,5498,10531,10531,10531,10531,83155031,6.61,12.66,12.66,12.66,12.66
2022-04-03,Bundesgebiet,00,00+,5797,10723,10723,10723,10723,83155031,6.97,12.9,12.9,12.9,12.9
