Datum,7T_Hospitalisierung_Faelle,PS_adjustierte_7T_Hospitalisierung_Faelle,UG_PI_adjustierte_7T_Hospitalisierung_Faelle,OG_PI_adjustierte_7T_Hospitalisierung_Faelle,Bevölkerung,7T_Hospitalisierung_Inzidenz,PS_adjustierte_7T_Hospitalisierung_Inzidenz,UG_PI_adjustierte_7T_Hospitalisierung_Inzidenz,OG_PI_adjustierte_7T_Hospitalisierung_Inzidenz
2021-11-03,3008,5719,5453,6068,83155031,3.62,6.88,6.56,7.3
2021-11-02,3451,5511,5296,5785,83155031,4.15,6.63,6.37,6.96
2021-11-01,3739,5626,5412,5888,83155031,4.5,6.77,6.51,7.08
2021-10-31,3800,5576,5377,5807,83155031,4.57,6.71,6.47,6.98
2021-10-30,3943,5571,5383,5791,83155031,4.74,6.7,6.47,6.96
2021-10-29,4108,5541,5352,5722,83155031,4.94,6.66,6.44,6.88
2021-10-28,4152,5349,5179,5512,83155031,4.99,6.43,6.23,6.63
2021-10-27,4068,4992,4823,5154,83155031,4.89,6,5.8,6.2
2021-10-26,4130,4867,4710,5030,83155031,4.97,5.85,5.66,6.05
2021-10-25,4100,4716,4573,4867,83155031,4.93,5.67,5.5,5.85
2021-10-24,4068,4643,4505,4791,83155031,4.89,5.58,5.42,5.76
2021-10-23,3960,4472,4345,4610,83155031,4.76,5.38,5.23,5.54
2021-10-22,3774,4203,4092,4327,83155031,4.54,5.05,4.92,5.2
2021-10-21,3625,3986,3889,4096,83155031,4.36,4.79,4.68,4.93
2021-10-20,3410,3707,3624,3804,83155031,4.1,4.46,4.36,4.58
2021-10-19,3113,3346,3278,3425,83155031,3.74,4.02,3.94,4.12
2021-10-18,2912,3104,3048,3169,83155031,3.5,3.73,3.67,3.81
2021-10-17,2851,3031,2978,3093,83155031,3.43,3.65,3.58,3.72
2021-10-16,2805,2970,2921,3028,83155031,3.37,3.57,3.51,3.64
2021-10-15,2766,2913,2869,2965,83155031,3.33,3.5,3.45,3.57
2021-10-14,2668,2797,2758,2844,83155031,3.21,3.36,3.32,3.42
2021-10-13,2647,2763,2727,2806,83155031,3.18,3.32,3.28,3.38
2021-10-12,2583,2683,2651,2722,83155031,3.11,3.23,3.19,3.27
2021-10-11,2497,2583,2556,2617,83155031,3,3.11,3.07,3.15
2021-10-10,2483,2565,2539,2597,83155031,2.99,3.09,3.05,3.12
2021-10-09,2446,2521,2497,2551,83155031,2.94,3.03,3,3.07
2021-10-08,2375,2440,2418,2465,83155031,2.86,2.93,2.91,2.97
2021-10-07,2330,2385,2367,2408,83155031,2.8,2.87,2.85,2.9
2021-10-06,2342,2389,2374,2408,83155031,2.82,2.87,2.86,2.9
2021-10-05,2430,2470,2457,2486,83155031,2.92,2.97,2.96,2.99
2021-10-04,2482,2517,2506,2530,83155031,2.98,3.03,3.01,3.04
2021-10-03,2486,2519,2508,2531,83155031,2.99,3.03,3.02,3.04
2021-10-02,2485,2514,2505,2524,83155031,2.99,3.02,3.01,3.04
2021-10-01,2500,2523,2516,2532,83155031,3.01,3.03,3.03,3.05
2021-09-30,2569,2587,2581,2593,83155031,3.09,3.11,3.1,3.12
2021-09-29,2532,2543,2540,2548,83155031,3.04,3.06,3.05,3.06
2021-09-28,2455,2460,2458,2463,83155031,2.95,2.96,2.96,2.96
2021-09-27,2428,2430,2429,2431,83155031,2.92,2.92,2.92,2.92
2021-09-26,2426,2427,2427,2428,83155031,2.92,2.92,2.92,2.92
2021-09-25,2459,2459,2459,2459,83155031,2.96,2.96,2.96,2.96
2021-09-24,2480,2480,2480,2480,83155031,2.98,2.98,2.98,2.98
2021-09-23,2485,2485,2485,2485,83155031,2.99,2.99,2.99,2.99
2021-09-22,2564,2564,2564,2564,83155031,3.08,3.08,3.08,3.08
2021-09-21,2642,2642,2642,2642,83155031,3.18,3.18,3.18,3.18
2021-09-20,2722,2722,2722,2722,83155031,3.27,3.27,3.27,3.27
2021-09-19,2785,2785,2785,2785,83155031,3.35,3.35,3.35,3.35
2021-09-18,2854,2854,2854,2854,83155031,3.43,3.43,3.43,3.43
2021-09-17,2966,2966,2966,2966,83155031,3.57,3.57,3.57,3.57
2021-09-16,3070,3070,3070,3070,83155031,3.69,3.69,3.69,3.69
2021-09-15,3119,3119,3119,3119,83155031,3.75,3.75,3.75,3.75
2021-09-14,3220,3220,3220,3220,83155031,3.87,3.87,3.87,3.87
2021-09-13,3243,3243,3243,3243,83155031,3.9,3.9,3.9,3.9
2021-09-12,3257,3257,3257,3257,83155031,3.92,3.92,3.92,3.92
2021-09-11,3280,3280,3280,3280,83155031,3.94,3.94,3.94,3.94
2021-09-10,3276,3276,3276,3276,83155031,3.94,3.94,3.94,3.94
2021-09-09,3251,3251,3251,3251,83155031,3.91,3.91,3.91,3.91
