Datum,7T_Hospitalisierung_Faelle,PS_adjustierte_7T_Hospitalisierung_Faelle,UG_PI_adjustierte_7T_Hospitalisierung_Faelle,OG_PI_adjustierte_7T_Hospitalisierung_Faelle,Bevoelkerung,7T_Hospitalisierung_Inzidenz,PS_adjustierte_7T_Hospitalisierung_Inzidenz,UG_PI_adjustierte_7T_Hospitalisierung_Inzidenz,OG_PI_adjustierte_7T_Hospitalisierung_Inzidenz
2021-11-24,4770,9615,9331,10041,83155031,5.74,11.56,11.22,12.08
2021-11-23,5644,9383,9139,9741,83155031,6.79,11.28,10.99,11.71
2021-11-22,6017,9276,9048,9563,83155031,7.24,11.16,10.88,11.5
2021-11-21,6186,9162,8938,9440,83155031,7.44,11.02,10.75,11.35
2021-11-20,6462,9121,8895,9337,83155031,7.77,10.97,10.7,11.23
2021-11-19,6732,8965,8752,9150,83155031,8.1,10.78,10.53,11
2021-11-18,6953,8788,8584,8966,83155031,8.36,10.57,10.32,10.78
2021-11-17,7109,8587,8377,8757,83155031,8.55,10.33,10.07,10.53
2021-11-16,7105,8255,8080,8420,83155031,8.54,9.93,9.72,10.13
2021-11-15,7094,8041,7877,8188,83155031,8.53,9.67,9.47,9.85
2021-11-14,7039,7903,7747,8045,83155031,8.46,9.5,9.32,9.67
2021-11-13,7000,7770,7623,7910,83155031,8.42,9.34,9.17,9.51
2021-11-12,6986,7641,7506,7773,83155031,8.4,9.19,9.03,9.35
2021-11-11,6923,7470,7349,7594,83155031,8.33,8.98,8.84,9.13
2021-11-10,6930,7392,7281,7510,83155031,8.33,8.89,8.76,9.03
2021-11-09,6747,7131,7032,7241,83155031,8.11,8.58,8.46,8.71
2021-11-08,6366,6687,6601,6785,83155031,7.66,8.04,7.94,8.16
2021-11-07,6296,6597,6514,6692,83155031,7.57,7.93,7.83,8.05
2021-11-06,6239,6515,6438,6606,83155031,7.5,7.84,7.74,7.94
2021-11-05,6054,6293,6223,6378,83155031,7.28,7.57,7.48,7.67
2021-11-04,5852,6056,5993,6133,83155031,7.04,7.28,7.21,7.38
