Datum,Bundesland,Bundesland_Id,Altersgruppe,fixierte_7T_Hospitalisierung_Faelle,aktualisierte_7T_Hospitalisierung_Faelle,PS_adjustierte_7T_Hospitalisierung_Faelle,UG_PI_adjustierte_7T_Hospitalisierung_Faelle,OG_PI_adjustierte_7T_Hospitalisierung_Faelle,Bevoelkerung,fixierte_7T_Hospitalisierung_Inzidenz,aktualisierte_7T_Hospitalisierung_Inzidenz,PS_adjustierte_7T_Hospitalisierung_Inzidenz,UG_PI_adjustierte_7T_Hospitalisierung_Inzidenz,OG_PI_adjustierte_7T_Hospitalisierung_Inzidenz
2021-12-28,Bundesgebiet,00,00+,2704,2704,NA,NA,NA,83155031,3.25,3.25,NA,NA,NA
2021-12-27,Bundesgebiet,00,00+,2709,3195,NA,NA,NA,83155031,3.26,3.84,NA,NA,NA
2021-12-26,Bundesgebiet,00,00+,2751,3386,NA,NA,NA,83155031,3.31,4.07,NA,NA,NA
2021-12-25,Bundesgebiet,00,00+,3069,3772,6293,6179,6450,83155031,3.69,4.54,7.57,7.43,7.76
2021-12-24,Bundesgebiet,00,00+,3614,4438,6933,6799,7092,83155031,4.35,5.34,8.34,8.18,8.53
2021-12-23,Bundesgebiet,00,00+,3787,4989,7251,7095,7387,83155031,4.55,6,8.72,8.53,8.88
2021-12-22,Bundesgebiet,00,00+,3797,5490,7467,7318,7592,83155031,4.57,6.6,8.98,8.8,9.13
2021-12-21,Bundesgebiet,00,00+,3934,6082,7783,7632,7912,83155031,4.73,7.31,9.36,9.18,9.51
2021-12-20,Bundesgebiet,00,00+,3932,6449,7957,7814,8092,83155031,4.73,7.76,9.57,9.4,9.73
2021-12-19,Bundesgebiet,00,00+,4021,6581,8010,7872,8142,83155031,4.84,7.91,9.63,9.47,9.79
2021-12-18,Bundesgebiet,00,00+,4234,6908,8255,8120,8387,83155031,5.09,8.31,9.93,9.76,10.09
2021-12-17,Bundesgebiet,00,00+,4241,7231,8443,8316,8572,83155031,5.1,8.7,10.15,10,10.31
2021-12-16,Bundesgebiet,00,00+,4301,7603,8690,8571,8817,83155031,5.17,9.14,10.45,10.31,10.6
2021-12-15,Bundesgebiet,00,00+,4385,8027,8998,8886,9118,83155031,5.27,9.65,10.82,10.69,10.97
2021-12-14,Bundesgebiet,00,00+,4334,8342,9182,9081,9292,83155031,5.21,10.03,11.04,10.92,11.18
2021-12-13,Bundesgebiet,00,00+,4298,8742,9506,9411,9610,83155031,5.17,10.51,11.43,11.32,11.56
2021-12-12,Bundesgebiet,00,00+,4551,9012,9753,9659,9855,83155031,5.47,10.84,11.73,11.62,11.85
2021-12-11,Bundesgebiet,00,00+,4768,9167,9856,9767,9953,83155031,5.73,11.02,11.85,11.75,11.97
2021-12-10,Bundesgebiet,00,00+,4748,9460,10090,10006,10182,83155031,5.71,11.38,12.13,12.03,12.24
2021-12-09,Bundesgebiet,00,00+,4778,9703,10267,10190,10353,83155031,5.75,11.67,12.35,12.26,12.45
2021-12-08,Bundesgebiet,00,00+,4815,9939,10436,10366,10514,83155031,5.79,11.95,12.55,12.47,12.64
2021-12-07,Bundesgebiet,00,00+,4531,9906,10329,10266,10398,83155031,5.45,11.91,12.42,12.35,12.5
2021-12-06,Bundesgebiet,00,00+,4423,9870,10234,10179,10296,83155031,5.32,11.87,12.31,12.24,12.38
2021-12-05,Bundesgebiet,00,00+,4554,9832,10170,10119,10229,83155031,5.48,11.82,12.23,12.17,12.3
2021-12-04,Bundesgebiet,00,00+,4683,9812,10118,10070,10173,83155031,5.63,11.8,12.17,12.11,12.23
2021-12-03,Bundesgebiet,00,00+,4593,9865,10129,10086,10178,83155031,5.52,11.86,12.18,12.13,12.24
2021-12-02,Bundesgebiet,00,00+,4545,9916,10140,10102,10182,83155031,5.47,11.92,12.19,12.15,12.25
2021-12-01,Bundesgebiet,00,00+,4667,9930,10115,10082,10151,83155031,5.61,11.94,12.16,12.13,12.21
2021-11-30,Bundesgebiet,00,00+,4766,10194,10349,10321,10381,83155031,5.73,12.26,12.45,12.41,12.48
2021-11-29,Bundesgebiet,00,00+,4589,10324,10456,10432,10483,83155031,5.52,12.42,12.58,12.55,12.61
2021-11-28,Bundesgebiet,00,00+,4821,10427,10549,10526,10574,83155031,5.8,12.54,12.69,12.66,12.72
2021-11-27,Bundesgebiet,00,00+,5001,10370,10477,10457,10500,83155031,6.01,12.47,12.6,12.58,12.63
2021-11-26,Bundesgebiet,00,00+,4966,10397,10484,10468,10502,83155031,5.97,12.5,12.61,12.59,12.63
2021-11-25,Bundesgebiet,00,00+,4814,10365,10432,10419,10446,83155031,5.79,12.46,12.55,12.53,12.56
2021-11-24,Bundesgebiet,00,00+,4770,10236,10282,10273,10291,83155031,5.74,12.31,12.37,12.35,12.38
2021-11-23,Bundesgebiet,00,00+,4659,10159,10186,10181,10192,83155031,5.6,12.22,12.25,12.24,12.26
2021-11-22,Bundesgebiet,00,00+,4390,9951,9966,9963,9969,83155031,5.28,11.97,11.99,11.98,11.99
2021-11-21,Bundesgebiet,00,00+,4467,9835,9845,9843,9848,83155031,5.37,11.83,11.84,11.84,11.84
2021-11-20,Bundesgebiet,00,00+,4575,9799,9805,9804,9807,83155031,5.5,11.78,11.79,11.79,11.79
2021-11-19,Bundesgebiet,00,00+,4437,9567,9569,9569,9569,83155031,5.34,11.51,11.51,11.51,11.51
2021-11-18,Bundesgebiet,00,00+,4407,9366,9366,9366,9366,83155031,5.3,11.26,11.26,11.26,11.26
